timestamp,task,example_id,strategy,model_name,final_answer,gold_answer,correct,parse_method,parse_success,latency_seconds,total_prompt_tokens,total_completion_tokens,model_calls,energy_joules,avg_cpu_percent,hardware_type,error
2026-08-10T02:13:10.288874+00:00,gsm8k,gsm8k_0,self_consistency,qwen2.5:3b,100,100,True,majority_vote,True,57.063,595,1221,5,,5.159999999999999,cpu,
2026-08-10T02:14:37.179118+00:00,gsm8k,gsm8k_1,self_consistency,qwen2.5:3b,30,30,True,majority_vote,True,86.8522,640,2004,5,,4.76,cpu,
2026-08-10T02:15:37.105772+00:00,gsm8k,gsm8k_2,self_consistency,qwen2.5:3b,125,623,False,majority_vote,True,59.8872,490,1297,5,,4.9,cpu,
2026-08-10T02:17:01.843294+00:00,gsm8k,gsm8k_3,self_consistency,qwen2.5:3b,4,36,False,majority_vote,True,84.6977,705,1943,5,,8.22,cpu,
2026-08-10T02:18:53.700637+00:00,gsm8k,gsm8k_4,self_consistency,qwen2.5:3b,10,10,True,majority_vote,True,111.8151,710,2632,5,,10.700000000000001,cpu,
2026-08-10T02:19:59.337421+00:00,gsm8k,gsm8k_5,self_consistency,qwen2.5:3b,12,12,True,majority_vote,True,65.5941,550,1447,5,,7.960000000000001,cpu,
2026-08-10T02:21:18.087147+00:00,gsm8k,gsm8k_6,self_consistency,qwen2.5:3b,14000,"14,000",True,majority_vote,True,78.7064,725,1794,5,,5.12,cpu,
2026-08-10T02:22:31.416704+00:00,gsm8k,gsm8k_7,self_consistency,qwen2.5:3b,125,3000,False,majority_vote,True,73.2865,620,1654,5,,5.619999999999999,cpu,
2026-08-10T02:24:24.437036+00:00,gsm8k,gsm8k_8,self_consistency,qwen2.5:3b,6,540,False,majority_vote,True,112.975,770,2661,5,,5.5600000000000005,cpu,
2026-08-10T02:25:01.353651+00:00,gsm8k,gsm8k_9,self_consistency,qwen2.5:3b,5,5,True,majority_vote,True,36.8725,550,683,5,,4.3,cpu,
2026-08-10T03:04:15.945597+00:00,strategyqa,strategyqa_0,self_consistency,qwen2.5:3b,no,no,True,majority_vote,True,75.7551,400,1721,5,,4.4799999999999995,cpu,
2026-08-10T03:05:47.243454+00:00,strategyqa,strategyqa_1,self_consistency,qwen2.5:3b,no,yes,False,majority_vote,True,91.2516,405,2133,5,,6.18,cpu,
2026-08-10T03:07:02.952189+00:00,strategyqa,strategyqa_2,self_consistency,qwen2.5:3b,no,no,True,majority_vote,True,75.6608,400,1718,5,,6.279999999999999,cpu,
2026-08-10T03:08:07.099745+00:00,strategyqa,strategyqa_3,self_consistency,qwen2.5:3b,yes,yes,True,majority_vote,True,64.0997,440,1408,5,,5.02,cpu,
2026-08-10T03:09:13.582982+00:00,strategyqa,strategyqa_4,self_consistency,qwen2.5:3b,yes,yes,True,majority_vote,True,66.4345,395,1472,5,,4.74,cpu,
2026-08-10T03:10:38.726806+00:00,strategyqa,strategyqa_5,self_consistency,qwen2.5:3b,no,no,True,majority_vote,True,85.0937,405,1965,5,,5.140000000000001,cpu,
2026-08-10T03:12:03.055465+00:00,strategyqa,strategyqa_6,self_consistency,qwen2.5:3b,no,no,True,majority_vote,True,84.2772,390,1947,5,,5.36,cpu,
2026-08-10T03:12:57.446205+00:00,strategyqa,strategyqa_7,self_consistency,qwen2.5:3b,no,yes,False,majority_vote,True,54.3392,380,1148,5,,4.56,cpu,
2026-08-10T03:13:41.039748+00:00,strategyqa,strategyqa_8,self_consistency,qwen2.5:3b,no,no,True,majority_vote,True,43.5405,420,863,5,,4.260000000000001,cpu,
2026-08-10T03:14:42.153724+00:00,strategyqa,strategyqa_9,self_consistency,qwen2.5:3b,no,yes,False,majority_vote,True,61.062,440,1330,5,,5.260000000000001,cpu,
2026-08-10T03:54:31.277830+00:00,game24,game24_0,self_consistency,qwen2.5:3b,(9 - 1),24,False,majority_vote,True,139.8268,495,3370,5,,11.3,cpu,
2026-08-10T03:56:42.877368+00:00,game24,game24_1,self_consistency,qwen2.5:3b,3,24,False,majority_vote,True,131.5416,485,3156,5,,8.040000000000001,cpu,
2026-08-10T03:58:33.692854+00:00,game24,game24_2,self_consistency,qwen2.5:3b,(7),24,False,majority_vote,True,110.7552,485,2598,5,,12.4,cpu,
2026-08-10T04:01:11.123385+00:00,game24,game24_3,self_consistency,qwen2.5:3b,(5 * 3),24,False,majority_vote,True,157.3722,490,3812,5,,5.6,cpu,
2026-08-10T04:03:01.964431+00:00,game24,game24_4,self_consistency,qwen2.5:3b,((8 - (6 - 4)) / 1),24,False,majority_vote,True,110.7813,485,2633,5,,3.84,cpu,
2026-08-10T04:04:51.185721+00:00,game24,game24_5,self_consistency,qwen2.5:3b,8 * 5,24,False,majority_vote,True,109.161,485,2581,5,,3.8600000000000003,cpu,
2026-08-10T04:07:10.076509+00:00,game24,game24_6,self_consistency,qwen2.5:3b,8 * 3,24,True,majority_vote,True,138.8291,485,3335,5,,3.8,cpu,
2026-08-10T04:09:03.065786+00:00,game24,game24_7,self_consistency,qwen2.5:3b,35 / 5,24,False,majority_vote,True,112.9261,485,2684,5,,3.7599999999999993,cpu,
2026-08-10T04:11:29.202838+00:00,game24,game24_8,self_consistency,qwen2.5:3b,4,24,False,majority_vote,True,146.0735,485,3535,5,,3.9599999999999995,cpu,
2026-08-10T04:13:46.646892+00:00,game24,game24_9,self_consistency,qwen2.5:3b,(6 + 5) / 3 + 4,24,False,majority_vote,True,137.378,485,3312,5,,3.7199999999999998,cpu,
